Date,Open,High,Low,Close,Adj Close,Volume
2022-11-25,68.462135,68.992973,68.188911,68.805618,68.575447,2426342
2022-11-28,68.071815,68.352852,66.479317,66.721313,66.498116,5487676
2022-11-29,66.939888,67.072601,66.323189,66.869637,66.645943,5750409
2022-11-30,66.854019,67.408272,64.941452,67.111633,66.887131,9301085
2022-12-01,67.298988,67.611244,66.252930,66.557381,66.334732,5432337
2022-12-02,66.018738,67.876656,65.893829,67.822014,67.595131,5739392
2022-12-05,67.010147,67.174080,66.057770,66.088989,65.867905,6040427
2022-12-06,67.611244,67.993752,65.940674,66.572990,66.350288,7537276
2022-12-07,66.354408,67.197502,66.213898,66.354408,66.132431,6226429
2022-12-08,66.822792,67.283371,64.551132,65.284935,65.066536,8247590
2022-12-09,65.277130,65.417641,63.489460,63.583138,63.370438,7102248
2022-12-12,63.793911,64.996094,63.255268,64.957062,64.739769,5969716
2022-12-13,66.018738,66.276344,63.957844,64.699455,64.483017,9889320
2022-12-14,64.309135,65.058548,63.497269,63.598751,63.447243,9794014
2022-12-15,62.505856,63.395786,61.280251,61.522247,61.375683,12448758
2022-12-16,60.725994,61.163155,59.867290,60.616707,60.472298,12752227
2022-12-19,60.304451,61.163155,60.265419,60.936768,60.791595,5635375
2022-12-20,60.921154,63.075722,60.772835,62.708820,62.559429,8935872
2022-12-21,63.263077,65.253708,63.208431,64.777519,64.623199,9678724
2022-12-22,64.153008,64.566742,62.669788,63.832943,63.680870,7765422
2022-12-23,63.786106,64.316940,63.200626,63.848557,63.696445,4218845
2022-12-27,64.012489,64.863388,63.934425,64.668228,64.514168,5430800
2022-12-28,64.785324,64.925842,63.466042,63.989071,63.836628,4956830
2022-12-29,64.207649,65.503510,64.012489,65.378609,65.222855,5657408
2022-12-30,64.722870,65.597191,64.621391,65.409836,65.254005,5287584
2023-01-03,65.612801,66.424667,65.214676,66.338799,66.180763,8204933
2023-01-04,68.410004,70.199997,66.750000,70.199997,70.032761,16784600
2023-01-05,69.900002,71.550003,69.000000,71.290001,71.120163,12770200
2023-01-06,72.010002,72.330002,70.750000,71.940002,71.768616,10389500
2023-01-09,72.000000,73.910004,71.959999,72.669998,72.496872,7572900
2023-01-10,72.199997,75.370003,72.199997,75.269997,75.090675,9255500
2023-01-11,75.820000,77.699997,75.510002,77.690002,77.504929,10159300
2023-01-12,77.879997,79.209999,77.290001,78.860001,78.672127,11498700
2023-01-13,78.779999,80.599998,78.500000,80.199997,80.008942,11048200
2023-01-17,79.919998,80.660004,79.760002,80.489998,80.298248,8492200
2023-01-18,80.940002,81.180000,79.139999,79.269997,79.081154,7834300
2023-01-19,77.940002,78.750000,76.669998,76.860001,76.676903,10411700
2023-01-20,77.589996,77.750000,75.669998,77.680000,77.494942,8261300
2023-01-23,77.610001,80.019997,77.540001,79.769997,79.579964,10957500
2023-01-24,78.000000,80.849998,77.470001,80.699997,80.507744,13381800
2023-01-25,79.779999,81.349998,79.430000,80.790001,80.597534,8501500
2023-01-26,81.480003,81.580002,80.120003,81.139999,80.946701,6511200
2023-01-27,81.000000,83.989998,80.900002,83.230003,83.031723,7789500
2023-01-30,82.410004,82.750000,80.669998,80.830002,80.637436,5726900
2023-01-31,80.449997,80.910004,79.470001,80.480003,80.288277,6883500
2023-02-01,80.269997,82.470001,80.010002,82.320000,82.123886,7272300
2023-02-02,82.190002,84.029999,81.900002,83.940002,83.740028,8293000
2023-02-03,83.510002,83.690002,81.820000,81.959999,81.764740,5778200
2023-02-06,81.470001,82.440002,81.239998,82.349998,82.153816,4329700
2023-02-07,81.980003,82.370003,80.540001,82.110001,81.914391,4702300
2023-02-08,81.690002,82.599998,81.300003,81.959999,81.764740,3407400
2023-02-09,82.339996,82.629997,80.440002,80.790001,80.597534,3861400
2023-02-10,80.809998,81.349998,80.400002,81.290001,81.096344,3490100
2023-02-13,81.199997,82.919998,81.080002,82.680000,82.483032,4081600
2023-02-14,82.129997,83.809998,81.959999,83.540001,83.340988,5368500
2023-02-15,82.610001,84.790001,82.440002,84.769997,84.568054,5830500
2023-02-16,83.610001,84.540001,82.980003,84.050003,83.849770,4505900
2023-02-17,83.589996,83.820000,82.230003,83.040001,82.842171,4424200
2023-02-21,82.139999,83.379997,81.809998,82.260002,82.064034,4071800
2023-02-22,82.160004,84.330002,82.099998,83.190002,82.991814,8642500
2023-02-23,83.489998,84.410004,81.900002,82.940002,82.742416,8077200
2023-02-24,81.760002,83.779999,81.650002,83.550003,83.350967,6946800
2023-02-27,84.000000,84.860001,83.489998,83.839996,83.640259,6390500
2023-02-28,83.620003,85.650002,83.459999,84.709999,84.508194,9131000
2023-03-01,84.660004,85.360001,83.750000,84.139999,83.939552,5996000
2023-03-02,83.599998,85.730003,83.379997,85.720001,85.515793,6820700
2023-03-03,85.900002,87.040001,85.150002,86.379997,86.174217,7676600
2023-03-06,86.639999,87.820000,86.470001,87.059998,86.933105,6451800
2023-03-07,86.959999,87.580002,86.099998,86.389999,86.264084,6898200
2023-03-08,86.769997,87.410004,86.070000,86.980003,86.853233,6063900
2023-03-09,89.959999,94.940002,89.769997,91.559998,91.426544,28592300
2023-03-10,91.900002,94.199997,90.790001,91.000000,90.867371,18477800
2023-03-13,89.699997,90.730003,87.660004,88.970001,88.840324,11334000
2023-03-14,91.169998,93.080002,90.199997,91.169998,91.037117,11347500
2023-03-15,88.989998,89.760002,86.449997,89.760002,89.629181,12057300
2023-03-16,89.400002,92.099998,88.570000,91.970001,91.835960,8127600
2023-03-17,91.790001,91.830002,89.349998,90.290001,90.158401,10188100
2023-03-20,90.629997,91.230003,89.410004,89.919998,89.788940,6947600
2023-03-21,90.980003,93.040001,90.959999,92.180000,92.045647,6826800
2023-03-22,92.489998,92.599998,89.550003,89.589996,89.459419,7011000
2023-03-23,90.629997,92.949997,90.529999,91.589996,91.456497,8647000
2023-03-24,90.570000,92.349998,90.320000,91.370003,91.236832,6658400
2023-03-27,92.279999,93.639999,92.110001,93.309998,93.173996,6005200
2023-03-28,93.339996,93.739998,92.559998,93.139999,93.004242,4008900
2023-03-29,93.970001,94.419998,93.669998,94.059998,93.922905,4918000
2023-03-30,93.949997,94.309998,93.559998,94.050003,93.912926,5285800
2023-03-31,94.529999,95.669998,94.309998,95.599998,95.460663,7380200
2023-04-03,95.750000,96.940002,95.360001,96.919998,96.778732,4947700
2023-04-04,96.959999,97.870003,94.669998,95.050003,94.911461,6827600
2023-04-05,94.980003,95.320000,93.660004,94.250000,94.112633,8493400
2023-04-06,94.120003,94.389999,93.540001,93.599998,93.463577,6404900
2023-04-10,93.830002,94.989998,93.610001,94.360001,94.222466,5985500
2023-04-11,94.510002,94.959999,93.879997,93.910004,93.773132,5317700
2023-04-12,94.260002,94.669998,93.809998,94.099998,93.962845,6997700
2023-04-13,94.379997,94.690002,93.470001,94.300003,94.162560,8814600
2023-04-14,93.860001,95.639999,93.809998,95.440002,95.300896,5755600
2023-04-17,95.620003,96.849998,95.480003,96.769997,96.628952,6126100
2023-04-18,97.000000,98.519997,96.860001,98.470001,98.326477,7110800
2023-04-19,98.580002,99.309998,98.419998,99.029999,98.885666,5617000
2023-04-20,99.300003,100.470001,99.059998,99.760002,99.614601,6912400
2023-04-21,99.980003,100.080002,99.129997,99.510002,99.364960,4080400
2023-04-24,99.580002,100.769997,99.580002,100.150002,100.004028,6251800
2023-04-25,101.949997,102.010002,97.550003,98.440002,98.296524,9297500
2023-04-26,98.230003,98.449997,96.089996,96.209999,96.069771,6410500
2023-04-27,97.019997,98.190002,96.599998,98.059998,97.917076,7461000
2023-04-28,97.129997,99.720001,96.879997,98.970001,98.825752,5010800
2023-05-01,99.489998,102.000000,99.370003,101.180000,101.032532,5912400
2023-05-02,100.610001,102.029999,100.190002,101.510002,101.362053,5973700
2023-05-03,101.879997,102.949997,101.309998,101.769997,101.621658,4722700
2023-05-04,101.489998,101.750000,97.410004,99.320000,99.175240,7227000
2023-05-05,100.580002,101.760002,99.750000,100.239998,100.093903,5029000
2023-05-08,100.220001,101.110001,100.220001,100.919998,100.772911,3417500
2023-05-09,100.769997,101.900002,100.769997,101.000000,100.852791,5204100
2023-05-10,101.480003,101.669998,98.459999,99.540001,99.394920,4032900
2023-05-11,99.400002,99.980003,98.820000,99.510002,99.364960,4084300
2023-05-12,99.580002,100.000000,97.709999,98.800003,98.655998,3457700
2023-05-15,99.139999,102.309998,99.019997,102.000000,101.851334,6363700
2023-05-16,101.230003,102.230003,100.889999,101.129997,100.982597,4408500
2023-05-17,101.870003,103.580002,101.550003,103.470001,103.319191,5484200
2023-05-18,102.889999,104.279999,101.730003,104.010002,103.858398,4606800
2023-05-19,104.519997,105.779999,103.839996,104.260002,104.108040,5770200
2023-05-22,104.099998,105.940002,104.099998,104.550003,104.397621,3987300
2023-05-23,103.860001,104.139999,101.279999,101.699997,101.551765,4579600
2023-05-24,101.279999,101.470001,99.910004,100.980003,100.832825,5008300
2023-05-25,101.400002,102.089996,100.540001,101.519997,101.372032,5377100
2023-05-26,101.589996,103.949997,101.559998,102.739998,102.590248,5424200
2023-05-30,103.019997,103.070000,100.660004,102.400002,102.250748,5665100
2023-05-31,101.320000,101.839996,99.709999,101.529999,101.382019,10661400
2023-06-01,101.209999,105.169998,101.070000,104.669998,104.517441,6222700
2023-06-02,105.500000,106.709999,104.540001,105.800003,105.645798,5967500
2023-06-05,105.800003,105.800003,104.099998,104.099998,103.948273,4077200
2023-06-06,104.330002,106.110001,104.099998,105.459999,105.306290,6220300
2023-06-07,106.639999,107.330002,105.639999,106.080002,105.925392,7279400
2023-06-08,105.839996,107.220001,105.629997,106.070000,105.915398,3573500
2023-06-09,106.290001,106.550003,105.080002,106.300003,106.145073,3483700
2023-06-12,106.309998,106.889999,105.650002,106.230003,106.075165,3733000
2023-06-13,106.029999,107.150002,105.809998,106.739998,106.584419,4318900
2023-06-14,106.720001,106.800003,103.959999,104.699997,104.547394,5131100
2023-06-15,104.440002,105.639999,103.989998,105.410004,105.256371,6969800
